FirstName,LastName,Canton,Avatar URL,PartyAbbreviation,Mandate Start,Council Abbreviation
Alex,Farinelli,TI,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3151.jpg,FDP,2023-12-04T00:00:00,NR_CH
Aline,Trede,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3032.jpg,Grüne,2023-12-04T00:00:00,NR_CH
Alois,Huber,AG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3213.jpg,SVP,2023-12-04T00:00:00,NR_CH
Andrea,Caroni,AR,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2775.jpg,FDP,2023-12-04T00:00:00,SR_CH
Andrea,Gmür-Schönenberger,LU,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3075.jpg,Mitte,2023-12-04T00:00:00,SR_CH
Andrea,Zryd,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10851.jpg,SP,2023-12-04T00:00:00,NR_CH
Andreas,Glarner,AG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3074.jpg,SVP,2023-12-04T00:00:00,NR_CH
Andreas,Gafner,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3155.jpg,EDU,2023-12-04T00:00:00,NR_CH
Andreas,Meier,AG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3228.jpg,Mitte,2023-12-04T00:00:00,NR_CH
Andri,Silberschmidt,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3182.jpg,FDP,2023-12-04T00:00:00,NR_CH
Anna,Giacometti,GR,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3157.jpg,FDP,2023-12-04T00:00:00,NR_CH
Anna,Rosenwasser,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10824.jpg,SP,2023-12-04T00:00:00,NR_CH
Balthasar,Glättli,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3003.jpg,Grüne,2023-12-04T00:00:00,NR_CH
Baptiste,Hurni,NE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3162.jpg,SP,2023-12-04T00:00:00,SR_CH
Barbara,Gysi,SG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3026.jpg,SP,2023-12-04T00:00:00,NR_CH
Barbara,Steinemann,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3096.jpg,SVP,2023-12-04T00:00:00,NR_CH
Barbara,Schaffner,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3179.jpg,GLP,2023-12-04T00:00:00,NR_CH
Beat,Flach,AG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2765.jpg,GLP,2023-12-04T00:00:00,NR_CH
Beat,Walti,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3044.jpg,FDP,2023-12-04T00:00:00,NR_CH
Beat,Rieder,VS,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3105.jpg,Mitte,2023-12-04T00:00:00,SR_CH
Benedikt,Würth,SG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3136.jpg,Mitte,2023-12-04T00:00:00,SR_CH
Benjamin,Roduit,VS,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3121.jpg,Mitte,2023-12-04T00:00:00,NR_CH
Benjamin,Giezendanner,AG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3158.jpg,SVP,2023-12-04T00:00:00,NR_CH
Benjamin,Fischer,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3221.jpg,SVP,2023-12-04T00:00:00,NR_CH
Benjamin,Mühlemann,GL,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10802.jpg,FDP,2023-12-04T00:00:00,SR_CH
Benoît,Gaillard,VD,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/15004.jpg,SP,2025-05-05T00:00:00,NR_CH
Bettina,Balmer,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10804.jpg,FDP,2023-12-04T00:00:00,NR_CH
Brenda,Tuosto,VD,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10825.jpg,SP,2023-12-04T00:00:00,NR_CH
Brigitte,Häberli-Koller,TG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2600.jpg,Mitte,2023-12-04T00:00:00,SR_CH
Brigitte,Crottaz,VD,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3120.jpg,SP,2023-12-04T00:00:00,NR_CH
Bruno,Walliser,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3099.jpg,SVP,2023-12-04T00:00:00,NR_CH
Bruno,Storni,TI,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3208.jpg,SP,2023-12-04T00:00:00,NR_CH
Carlo,Sommaruga,GE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2632.jpg,SP,2023-12-04T00:00:00,SR_CH
Cédric,Wermuth,AG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2759.jpg,SP,2023-12-04T00:00:00,NR_CH
Céline,Amaudruz,GE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2796.jpg,SVP,2023-12-04T00:00:00,NR_CH
Céline,Widmer,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3192.jpg,SP,2023-12-04T00:00:00,NR_CH
Céline,Weber,VD,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3218.jpg,GLP,2023-12-04T00:00:00,NR_CH
Charles,Juillard,JU,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3195.jpg,Mitte,2023-12-04T00:00:00,SR_CH
Christian,Wasserfallen,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2715.jpg,FDP,2023-12-04T00:00:00,NR_CH
Christian,Lohr,TG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3024.jpg,Mitte,2023-12-04T00:00:00,NR_CH
Christian,Imark,SO,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3080.jpg,SVP,2023-12-04T00:00:00,NR_CH
Christian,Dandrès,GE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3147.jpg,SP,2023-12-04T00:00:00,NR_CH
Christian,Glur,AG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/14803.jpg,SVP,2024-12-16T00:00:00,NR_CH
Christine,Bulliard-Marbach,FR,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3017.jpg,Mitte,2023-12-04T00:00:00,NR_CH
Christine,Badertscher,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3138.jpg,Grüne,2023-12-04T00:00:00,NR_CH
Christoph,Riner,AG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10801.jpg,SVP,2023-12-04T00:00:00,NR_CH
Christophe,Clivaz,VS,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3145.jpg,Grüne,2023-12-04T00:00:00,NR_CH
Clarence,Chollet,NE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/15304.jpg,Grüne,2025-06-02T00:00:00,NR_CH
Claudia,Friedl,SG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3035.jpg,SP,2023-12-04T00:00:00,NR_CH
Corina,Gredig,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3159.jpg,GLP,2023-12-11T00:00:00,NR_CH
Cyril,Aellen,GE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10803.jpg,FDP,2023-12-04T00:00:00,NR_CH
Damian,Müller,LU,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3108.jpg,FDP,2023-12-04T00:00:00,SR_CH
Damien,Cottier,NE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3146.jpg,FDP,2023-12-04T00:00:00,NR_CH
Daniel,Jositsch,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2694.jpg,SP,2023-12-04T00:00:00,SR_CH
